"episode nr","result","timesteps",,,,
0,1,1608,,74,,151050
1,1,498,,,,1510
2,1,684,,,,
3,0,1044,,,,
4,1,780,,,,
5,1,1416,,,,
6,1,750,,,,
7,0,348,,,,
8,1,1272,,,,
9,1,972,,,,
10,0,780,,,,
11,1,1092,,,,
12,1,318,,,,
13,0,1320,,,,
14,1,1554,,,,
15,0,1170,,,,
16,1,384,,,,
17,0,1380,,,,
18,1,654,,,,
19,0,1278,,,,
20,1,2958,,,,
21,0,2100,,,,
22,1,714,,,,
23,1,2388,,,,
24,1,762,,,,
25,0,756,,,,
26,1,438,,,,
27,0,570,,,,
28,1,1182,,,,
29,1,2220,,,,
30,1,486,,,,
31,1,1242,,,,
32,1,726,,,,
33,0,2400,,,,
34,0,840,,,,
35,1,558,,,,
36,1,1104,,,,
37,1,558,,,,
38,1,1536,,,,
39,1,432,,,,
40,1,486,,,,
41,1,660,,,,
42,1,762,,,,
43,1,1956,,,,
44,1,366,,,,
45,1,990,,,,
46,1,1038,,,,
47,1,756,,,,
48,1,642,,,,
49,1,894,,,,
50,0,996,,,,
51,1,1668,,,,
52,1,930,,,,
53,1,2358,,,,
54,1,3312,,,,
55,1,504,,,,
56,1,3528,,,,
57,1,1764,,,,
58,1,528,,,,
59,1,5088,,,,
60,0,618,,,,
61,1,5640,,,,
62,1,3822,,,,
63,1,780,,,,
64,1,3378,,,,
65,1,390,,,,
66,1,732,,,,
67,1,990,,,,
68,1,744,,,,
69,0,540,,,,
70,1,1404,,,,
71,0,1236,,,,
72,0,1284,,,,
73,1,468,,,,
74,0,5532,,,,
75,1,624,,,,
76,1,6396,,,,
77,1,750,,,,
78,1,438,,,,
79,0,2208,,,,
80,1,1914,,,,
81,0,4020,,,,
82,1,366,,,,
83,1,486,,,,
84,1,930,,,,
85,1,1428,,,,
86,1,1422,,,,
87,1,582,,,,
88,0,6324,,,,
89,0,1218,,,,
90,0,492,,,,
91,0,1650,,,,
92,1,888,,,,
93,0,804,,,,
94,1,1926,,,,
95,1,11334,,,,
96,0,816,,,,
97,1,834,,,,
98,1,2028,,,,
99,1,1116,,,,
