"episode nr","result","timesteps"
0,1,1182
1,0,1314
2,1,2700
3,1,372
4,0,1938
5,1,936
6,0,1482
7,0,1272
8,1,384
9,0,480
10,1,522
11,1,1206
12,1,936
13,1,852
14,1,1200
15,0,684
16,1,1164
17,1,1212
18,1,3240
19,1,1170
20,0,486
21,1,360
22,0,354
23,0,702
24,0,678
25,1,552
26,1,798
27,1,11142
28,1,1356
29,0,540
30,1,366
31,1,792
32,0,648
33,1,672
34,1,828
35,0,3546
36,1,396
37,0,1614
38,1,516
39,1,738
40,0,3432
41,1,1398
42,1,1338
43,0,606
44,1,5946
45,1,318
46,1,564
47,1,882
48,1,1392
49,0,546
50,1,948
51,1,318
52,1,732
53,1,390
54,1,1194
55,1,1776
56,1,2460
57,0,492
58,0,810
59,1,738
60,0,1536
61,1,924
62,1,1350
63,0,1314
64,1,588
65,1,780
66,1,414
67,0,984
68,0,1008
69,0,4656
70,1,570
71,1,954
72,1,312
73,1,828
74,1,426
75,1,630
76,1,972
77,1,450
78,1,1602
79,1,684
80,1,468
81,0,378
82,1,528
83,1,4218
84,0,438
85,1,570
86,1,228
87,1,7764
88,1,642
89,1,828
90,1,546
91,0,348
92,1,654
93,0,492
94,1,306
95,1,360
96,1,3558
97,1,744
98,0,480
99,1,1194
