episode nr,reward,timesteps
0,-0.8663101604278075,375
1,10,231
2,-0.9387254901960784,817
3,10,990
4,-0.9759152215799615,2077
5,10,244
6,10,602
7,10,245
8,-0.944994499449945,910
9,10,447
10,-0.9932569116655429,7416
11,10,506
12,10,597
13,10,397
14,10,853
15,10,1813
16,10,680
17,10,878
18,10,20600
19,10,556
20,10,696
21,-0.8945147679324894,475
22,10,1221
23,10,593
24,10,265
25,10,269
26,10,1188
27,10,238
28,10,314
29,10,1551
30,10,624
31,10,1418
32,-0.9092558983666061,552
33,-0.8381877022653722,310
34,10,667
35,-0.9359795134443022,782
36,10,635
37,10,407
38,10,579
39,10,1060
40,10,2113
41,10,764
42,10,549
43,10,833
44,-0.9084249084249084,547
45,10,334
46,10,360
47,10,320
48,10,414
49,10,1240
50,10,983
51,10,5029
52,-0.9913837670170601,5804
53,10,269
54,10,362
